profile,metric,mean_diff_d_minus_c,ci_lo,ci_hi,n_pairs,p_d_better_than_c,p_two_sided,p_bonferroni_k11
dephas=0.05,sharpe_ratio,0.06626853340665168,-0.060123065591729634,0.1734260911453712,3,0.8608,0.2784,1.0
dephas=0.05,candidate_hit_rate,-0.00799999999999997,-0.03999999999999998,0.040000000000000036,3,0.2562,0.5124,1.0
dephas=0.05,topm_hit_rate,-0.007999999999999998,-0.032,0.01999999999999999,3,0.2606,0.5212,1.0
dephas=0.05,asset_coverage,-0.022222222222222216,-0.06666666666666665,0.033333333333333326,3,0.1494,0.2988,1.0
depol=0.05,sharpe_ratio,0.07613745841460157,-0.01527462245542631,0.1821445627437965,3,0.9614,0.07719999999999994,0.8491999999999993
depol=0.05,candidate_hit_rate,-0.005333333333333338,-0.02400000000000002,0.02400000000000002,3,0.259,0.518,1.0
depol=0.05,topm_hit_rate,0.01466666666666667,-0.0040000000000000036,0.027999999999999997,3,0.9614,0.07719999999999994,0.8491999999999993
depol=0.05,asset_coverage,-0.055555555555555546,-0.09999999999999998,0.0,3,0.0,0.0,0.0
depol=0.10,sharpe_ratio,0.010939021499092543,-0.04910115339004414,0.09069335618219548,3,0.5988,0.8024,1.0
depol=0.10,candidate_hit_rate,-0.0026666666666666505,-0.04799999999999999,0.040000000000000036,3,0.3732,0.7464,1.0
depol=0.10,topm_hit_rate,0.005333333333333338,-0.016000000000000014,0.016000000000000014,3,0.7374,0.5251999999999999,1.0
depol=0.10,asset_coverage,0.0,0.0,0.0,3,0.0,0.0,0.0
ideal,sharpe_ratio,0.09458303551855685,-0.029806713559498932,0.21360253201574184,3,0.9578,0.08440000000000003,0.9284000000000003
ideal,candidate_hit_rate,-0.014666666666666661,-0.068,0.05199999999999999,3,0.2492,0.4984,1.0
ideal,topm_hit_rate,0.002666666666666669,-0.008000000000000007,0.01200000000000001,3,0.6272,0.7456,1.0
ideal,asset_coverage,-0.04444444444444443,-0.1333333333333333,0.0,3,0.0,0.0,0.0
