metric,mean_diff_d_minus_c,ci_lo,ci_hi,n_pairs,p_d_better_than_c
cumulative_return,-1.0021762130930447,-1.4507308258513476,-0.46015718799539373,5,0.0
sharpe_ratio,0.019102491740431125,-0.004571870642598253,0.04410371231703496,5,0.9434
max_drawdown,0.9939201292241272,0.46015718799537664,1.434218658113528,5,1.0
mean_reward,-0.2004352426186081,-0.2901461651702684,-0.09203143759907757,5,0.0
episodes_to_convergence,0.2,0.0,0.6,5,0.6714
train_reward_last,-0.09010971649503556,-0.20753118459314202,0.02378933167804522,5,0.066
topm_hit_rate,0.005396825396825389,-0.008888888888888901,0.020793650793650788,5,0.7384
candidate_hit_rate,-0.010476190476190462,-0.01269841269841272,-0.008253968253968225,5,0.0
asset_coverage,-0.05333333333333332,-0.06666666666666665,-0.02666666666666666,5,0.0
mean_latency_ms,0.3117432697728787,0.13253390495452863,0.5028956508012636,5,1.0
duration_seconds,22.112238640000577,15.158930639998289,29.450863539997954,5,1.0
