metric,mean_diff_d_minus_c,ci_lo,ci_hi,n_pairs,p_d_better_than_c,p_two_sided,p_bonferroni,p_holm,p_fdr
cumulative_return,0.009368862387243082,-0.40274839869411727,0.4214861234686033,5,0.5304,0.9392,1.0,1.0,0.9564
sharpe_ratio,-0.002224099840108057,-0.023685874206782837,0.017996543631536323,5,0.445,0.89,1.0,1.0,0.9564
max_drawdown,0.048750718264215835,-0.067067379194513,0.1303244206067133,5,0.8004,0.3992,1.0,1.0,0.6273142857142857
mean_reward,0.001873772477448643,-0.08054967973882343,0.08429722469372071,5,0.5422,0.9156,1.0,1.0,0.9564
episodes_to_convergence,-3.5,-9.25,-0.25,4,0.0,0.0,0.0,0.0,0.0
train_reward_last,0.027237174422601852,-0.013746051983830231,0.07208281119805897,5,0.849,0.30200000000000005,1.0,1.0,0.5536666666666668
topm_hit_rate,0.0,-0.01111111111111111,0.013015873015873019,5,0.4782,0.9564,1.0,1.0,0.9564
candidate_hit_rate,0.02047619047619046,0.0184126984126984,0.022857142857142833,5,1.0,0.0,0.0,0.0,0.0
asset_coverage,-0.019999999999999997,-0.046666666666666655,0.006666666666666665,5,0.069,0.138,1.0,0.9660000000000001,0.30360000000000004
mean_latency_ms,0.46201123831985846,0.28692246079334016,0.6371000158463768,5,1.0,0.0,0.0,0.0,0.0
duration_seconds,23.361613899999064,12.930097960005515,33.793129839992616,5,1.0,0.0,0.0,0.0,0.0
