model,metric,mean,std,ci_lo,ci_hi,n
A,cumulative_return,1.5819689216534765,0.7188828827991056,1.0320323416489905,2.1319055016579624,5
A,sharpe_ratio,0.06420955194210888,0.02732856301367124,0.04346713063921758,0.08495197324500019,5
A,max_drawdown,0.4948520660051239,0.09080424713808588,0.42506281618438474,0.5676722296622595,5
A,mean_reward,0.31639378433069537,0.14377657655982118,0.20640646832979814,0.42836916834159816,5
A,episodes_to_convergence,12.0,9.899494936611665,5.0,19.0,2
A,train_reward_last,0.1761632722300768,0.09591447214151166,0.09159606555155757,0.23927071938457362,5
A,topm_hit_rate,0.20285714285714285,0.00923162922133038,0.19698412698412698,0.21079365079365076,5
A,candidate_hit_rate,1.0,0.0,1.0,1.0,5
A,asset_coverage,1.0,0.0,1.0,1.0,5
A,mean_latency_ms,0.349204920459583,0.026054560710441956,0.32641484128174536,0.36280115836739746,5
A,duration_seconds,30.167110699997284,1.5715010086557093,28.940778699994553,31.24558537999983,5
B,cumulative_return,1.223796390273419,0.5835374939216038,0.7145856470684266,1.6357310664185722,5
B,sharpe_ratio,0.054046768734290505,0.02903207571197229,0.033788441388274595,0.07497197896132654,5
B,max_drawdown,0.5458637719937737,0.2970904887212543,0.3530340310696739,0.8203008150675568,5
B,mean_reward,0.2447592780546839,0.11670749878432074,0.15862835188975272,0.32758570439510815,5
B,episodes_to_convergence,10.0,2.8284271247461903,8.0,12.0,2
B,train_reward_last,0.21243504797636978,0.10862850850685014,0.12033105711733313,0.29255782319746526,5
B,topm_hit_rate,0.19968253968253968,0.007457784102116512,0.19428571428571428,0.2058730158730159,5
B,candidate_hit_rate,1.0,0.0,1.0,1.0,5
B,asset_coverage,1.0,0.0,1.0,1.0,5
B,mean_latency_ms,0.4822091112515727,0.04591126275388065,0.44614739669394493,0.5217910479959322,5
B,duration_seconds,344.94907413999897,596.22235283063,74.51655471549981,878.3934696400014,5
C,cumulative_return,0.8075925967726771,0.6313801120693749,0.2534739323709826,1.3203868857916303,5
C,sharpe_ratio,0.04369350731228676,0.03388714919554886,0.014458709629879246,0.07102092391260029,5
C,max_drawdown,0.2782372301521672,0.15033101651973776,0.19256055585432008,0.4152281073843895,5
C,mean_reward,0.1615185193545354,0.126276022413875,0.053243824430252676,0.26425120544579855,5
C,episodes_to_convergence,18.0,1.4142135623730951,17.0,19.25,4
C,train_reward_last,0.4177263927800398,0.07244912623123238,0.36118251775677807,0.4741895893062237,5
C,topm_hit_rate,0.1834920634920635,0.01480961738006133,0.17253968253968255,0.1952579365079365,5
C,candidate_hit_rate,0.43190476190476196,0.006927985029458791,0.42587301587301585,0.4358730158730159,5
C,asset_coverage,0.8866666666666667,0.029814239699997188,0.86,0.9,5
C,mean_latency_ms,0.7499732856919605,0.03415908202935615,0.7297388888065821,0.7800348250598218,5
C,duration_seconds,53.839278440002815,3.831206486690923,51.42107534000534,57.05407765149662,5
D,cumulative_return,0.8169614591599202,0.5244660637868775,0.40750932060741735,1.226413597712423,5
D,sharpe_ratio,0.0414694074721787,0.026927623937028758,0.020969368293354166,0.060835321503008806,5
D,max_drawdown,0.32698794841638307,0.05055120482558582,0.28838344707825736,0.3655924497545088,5
D,mean_reward,0.16339229183198406,0.10489321275737556,0.08150186412148344,0.2452827195424847,5
D,episodes_to_convergence,14.5,4.358898943540674,10.0,17.0,4
D,train_reward_last,0.44496356720264174,0.07309956431740876,0.380198860579503,0.48989583687992094,5
D,topm_hit_rate,0.1834920634920635,0.009530420985573378,0.17634920634920634,0.19127777777777777,5
D,candidate_hit_rate,0.4523809523809524,0.00805467584531128,0.44523809523809527,0.4576190476190476,5
D,asset_coverage,0.8666666666666668,0.02357022603955158,0.8466666666666667,0.8866666666666667,5
D,mean_latency_ms,1.211984524011819,0.21599039560895011,1.055497317671931,1.3801402066388935,5
D,duration_seconds,77.20089234000189,11.219998228665384,69.25518179999781,86.8161953600007,5
