metric,mean_diff_b_minus_a,ci_lo,ci_hi,n_pairs,p_b_better_than_a,p_two_sided,p_bonferroni_k11,p_bonferroni_k5,hypothesis
cumulative_return,-0.148392871800699,-0.5188133621755887,0.20107460732629348,10,0.2094,0.4188,1.0,1.0,H1-H5
sharpe_ratio,-0.004500425375895169,-0.02026480319791991,0.010000082934401262,10,0.2826,0.5652,1.0,1.0,H1-H5
max_drawdown,-0.022735077593348064,-0.14687359831879046,0.1310040510820744,10,0.34,0.68,1.0,nan,descriptiva
mean_reward,-0.02967857436013983,-0.10429788367728215,0.03897202139604717,10,0.2032,0.4064,1.0,nan,descriptiva
episodes_to_convergence,-2.0,-7.0,3.6666666666666665,6,0.226,0.452,1.0,1.0,H1-H5
train_reward_last,0.05489622967901375,-0.021065715093451873,0.13475787498762334,10,0.915,0.16999999999999993,1.0,nan,descriptiva
topm_hit_rate,0.0020634920634920615,-0.00785912698412699,0.012222222222222218,10,0.646,0.708,1.0,1.0,H1-H5
candidate_hit_rate,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,H1-H5
asset_coverage,0.0,0.0,0.0,10,0.0,0.0,0.0,nan,descriptiva
mean_latency_ms,0.08454148417397861,0.04569676305572289,0.12293250370434149,10,1.0,0.0,0.0,nan,descriptiva
duration_seconds,205.67279520000156,43.1130895427509,474.0753994875021,10,1.0,0.0,0.0,nan,descriptiva
