metric,mean_diff_d_minus_c,ci_lo,ci_hi,n_pairs,p_d_better_than_c
cumulative_return,-1.4068248403222323,-1.676009396808901,-1.1539867827313444,3,0.0
sharpe_ratio,0.0023927372796022825,-0.0382143303618252,0.05040690238420287,3,0.592
max_drawdown,1.3942172069648346,1.1472319805173825,1.676009396808901,3,1.0
mean_reward,-0.28136496806444633,-0.33520187936178036,-0.23079735654626798,3,0.0
episodes_to_convergence,nan,nan,nan,0,nan
train_reward_last,-0.3417848032453188,-0.44750808599363445,-0.20367587066845427,3,0.0
topm_hit_rate,-0.005026455026455027,-0.01428571428571429,0.010317460317460309,3,0.2682
candidate_hit_rate,-0.010052910052910017,-0.012698412698412653,-0.007936507936507908,3,0.0
asset_coverage,0.0,0.0,0.0,3,0.0
mean_latency_ms,0.48954193104195864,0.4028015873613879,0.5927729362964682,3,1.0
duration_seconds,2.6047056333288006,2.337133499997435,2.8665605999995023,3,1.0
