topology,k,rms_mean,rms_sd,n_instants,exponent
bfs_irregular,1,1.000000,0.000000,40,0.2404
bfs_irregular,2,1.186232,0.234822,40,0.2404
bfs_irregular,3,1.435296,0.269183,40,0.2404
bfs_irregular,4,1.454789,0.430744,40,0.2404
bfs_irregular,5,1.465632,0.441482,40,0.2404
bfs_irregular,6,1.520435,0.346298,40,0.2404
dreg_aff,1,1.000000,0.000000,40,0.1250
dreg_aff,2,1.157022,0.410327,40,0.1250
dreg_aff,3,1.418124,0.327110,40,0.1250
dreg_aff,4,1.212250,0.401656,40,0.1250
dreg_aff,5,1.394147,0.287564,40,0.1250
dreg_aff,6,1.165229,0.489199,40,0.1250
dreg_uni,1,1.000000,0.000000,40,0.2374
dreg_uni,2,1.597664,0.220650,40,0.2374
dreg_uni,3,1.877515,0.318339,40,0.2374
dreg_uni,4,1.757247,0.324926,40,0.2374
dreg_uni,5,1.656061,0.409364,40,0.2374
dreg_uni,6,1.510745,0.282912,40,0.2374
cycle,1,1.000000,0.000000,40,0.5328
cycle,2,2.000000,0.000000,40,0.5328
cycle,3,3.000000,0.000000,40,0.5328
cycle,4,4.000000,0.000000,40,0.5328
cycle,5,3.000000,0.000000,40,0.5328
cycle,6,2.000000,0.000000,40,0.5328
bipartite,1,1.000000,0.000000,40,0.1069
bipartite,2,1.732051,0.000000,40,0.1069
bipartite,3,1.000000,0.000000,40,0.1069
bipartite,4,0.000000,0.000000,40,0.1069
bipartite,5,1.000000,0.000000,40,0.1069
bipartite,6,1.732051,0.000000,40,0.1069
