estrategia,sd_familia,sd,K,sr_star,dsr,supera_095
equal_weight,candidatas_39,0.019447,2,0.010108,0.908298,0
equal_weight,candidatas_39,0.019447,3,0.016584,0.870143,0
equal_weight,candidatas_39,0.019447,4,0.02046,0.84265,0
equal_weight,candidatas_39,0.019447,5,0.023192,0.821127,0
equal_weight,candidatas_39,0.019447,6,0.025283,0.803454,0
equal_weight,candidatas_39,0.019447,7,0.026968,0.788476,0
equal_weight,candidatas_39,0.019447,8,0.028373,0.775491,0
equal_weight,candidatas_39,0.019447,9,0.029574,0.764039,0
equal_weight,candidatas_39,0.019447,10,0.030621,0.753802,0
equal_weight,candidatas_39,0.019447,11,0.031546,0.744554,0
equal_weight,candidatas_39,0.019447,12,0.032375,0.736124,0
equal_weight,candidatas_39,0.019447,13,0.033124,0.728382,0
equal_weight,candidatas_39,0.019447,14,0.033807,0.721228,0
equal_weight,candidatas_39,0.019447,15,0.034434,0.714581,0
equal_weight,candidatas_39,0.019447,16,0.035013,0.708376,0
equal_weight,candidatas_39,0.019447,17,0.03555,0.70256,0
equal_weight,candidatas_39,0.019447,18,0.036052,0.697088,0
equal_weight,candidatas_39,0.019447,19,0.036521,0.691922,0
equal_weight,candidatas_39,0.019447,20,0.036962,0.687032,0
equal_weight,candidatas_39,0.019447,21,0.037379,0.682391,0
equal_weight,candidatas_39,0.019447,22,0.037772,0.677975,0
equal_weight,candidatas_39,0.019447,23,0.038145,0.673764,0
equal_weight,candidatas_39,0.019447,24,0.0385,0.669741,0
equal_weight,candidatas_39,0.019447,25,0.038838,0.665889,0
equal_weight,candidatas_39,0.019447,26,0.03916,0.662197,0
equal_weight,candidatas_39,0.019447,27,0.039469,0.658651,0
equal_weight,candidatas_39,0.019447,28,0.039765,0.65524,0
equal_weight,candidatas_39,0.019447,29,0.040048,0.651956,0
equal_weight,candidatas_39,0.019447,30,0.040321,0.648789,0
equal_weight,candidatas_39,0.019447,31,0.040583,0.645732,0
equal_weight,candidatas_39,0.019447,32,0.040835,0.642778,0
equal_weight,candidatas_39,0.019447,33,0.041079,0.63992,0
equal_weight,candidatas_39,0.019447,34,0.041315,0.637152,0
equal_weight,candidatas_39,0.019447,35,0.041542,0.634469,0
equal_weight,candidatas_39,0.019447,36,0.041762,0.631867,0
equal_weight,candidatas_39,0.019447,37,0.041976,0.62934,0
equal_weight,candidatas_39,0.019447,38,0.042183,0.626885,0
equal_weight,candidatas_39,0.019447,39,0.042383,0.624498,0
momentum_20d,candidatas_39,0.019447,2,0.010108,0.982601,1
momentum_20d,candidatas_39,0.019447,3,0.016584,0.971708,1
momentum_20d,candidatas_39,0.019447,4,0.02046,0.962813,1
momentum_20d,candidatas_39,0.019447,5,0.023192,0.955264,1
momentum_20d,candidatas_39,0.019447,6,0.025283,0.948687,0
momentum_20d,candidatas_39,0.019447,7,0.026968,0.942848,0
momentum_20d,candidatas_39,0.019447,8,0.028373,0.93759,0
momentum_20d,candidatas_39,0.019447,9,0.029574,0.932802,0
momentum_20d,candidatas_39,0.019447,10,0.030621,0.928402,0
momentum_20d,candidatas_39,0.019447,11,0.031546,0.924329,0
momentum_20d,candidatas_39,0.019447,12,0.032375,0.920536,0
momentum_20d,candidatas_39,0.019447,13,0.033124,0.916984,0
momentum_20d,candidatas_39,0.019447,14,0.033807,0.913643,0
momentum_20d,candidatas_39,0.019447,15,0.034434,0.910489,0
momentum_20d,candidatas_39,0.019447,16,0.035013,0.907501,0
momentum_20d,candidatas_39,0.019447,17,0.03555,0.904661,0
momentum_20d,candidatas_39,0.019447,18,0.036052,0.901955,0
momentum_20d,candidatas_39,0.019447,19,0.036521,0.89937,0
momentum_20d,candidatas_39,0.019447,20,0.036962,0.896896,0
momentum_20d,candidatas_39,0.019447,21,0.037379,0.894522,0
momentum_20d,candidatas_39,0.019447,22,0.037772,0.892241,0
