trial_id,family,configuration,period,T,T_nota,daily_sharpe,n_seeds,source_file,aggregation_method
A,seleccion_original,Modelo A (campania principal),test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.049637,10,campaign_1_v3.csv,media entre semillas
B,seleccion_original,Modelo B (campania principal),test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.045136,10,campaign_1_v3.csv,media entre semillas
C,seleccion_original,Modelo C (campania principal),test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.041301,10,campaign_1_v3.csv,media entre semillas
D,seleccion_original,Modelo D (campania principal),test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.0447,10,campaign_1_v3.csv,media entre semillas
R,seleccion_original,RandomWalker (control azar),test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.047077,10,variant_R_v6.csv,media entre semillas
Q,seleccion_original,AnnealingWalker (QUBO),test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.033461,10,variant_Q_v6.csv,media entre semillas
S_p0.00,seleccion_original,StickyWalker S_p0.00,test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.026324,10,rotation_sweep_v7.csv,media entre semillas
S_p0.10,seleccion_original,StickyWalker S_p0.10,test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.031743,10,rotation_sweep_v7.csv,media entre semillas
S_p0.25,seleccion_original,StickyWalker S_p0.25,test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.035823,10,rotation_sweep_v7.csv,media entre semillas
S_p0.50,seleccion_original,StickyWalker S_p0.50,test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.032548,10,rotation_sweep_v7.csv,media entre semillas
S_p0.75,seleccion_original,StickyWalker S_p0.75,test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.034873,10,rotation_sweep_v7.csv,media entre semillas
S_p1.00,seleccion_original,StickyWalker S_p1.00,test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.033175,10,rotation_sweep_v7.csv,media entre semillas
ORACLE,diagnostico_no_candidato,mascara-oraculo ex-post + PPO,test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),1.324087,10,oracle_v7.csv,media entre semillas
NISQ_dephas=0.05,seleccion_original,Modelo D bajo ruido abl_nisq_v3_dephas=0.05,test 2023-08-11..2024-12-30 (349 fechas unicas),1260,1260 pasos eval (5 episodios solapantes x 252; no fechas unicas),0.078673,3,abl_nisq_v3.csv,media entre semillas
