selector,rotation,cand_hit,v6_cand_hit,kind
S(p=0.00),0.2264143426294841,0.41865079365079366,,sticky
S(p=0.10),0.3247171314741113,0.43833333333333335,,sticky
S(p=0.25),0.44540239043826524,0.44515873015873014,,sticky
S(p=0.50),0.6062788844621907,0.4521428571428571,,sticky
S(p=0.75),0.7187330677291038,0.456031746031746,,sticky
S(p=1.00),0.8030996015936103,0.45531746031746034,,sticky
R,0.8056095617529728,0.45801587301587304,0.458,informed
D,0.4529960159362739,0.4484920634920635,0.448,informed
C,0.4354023904382648,0.42936507936507934,0.429,informed
Q,0.38969721115538747,0.3888888888888889,0.389,informed
