metric,mean_diff_d_minus_c,ci_lo,ci_hi,n_pairs,p_d_better_than_c
cumulative_return,0.619668219242879,0.4747822744758796,0.8590140993749351,3,1.0
sharpe_ratio,0.14941322174699465,-0.10368662548482899,0.32928582936485906,3,0.9654
max_drawdown,-0.6253004627656314,-0.8770686186892531,-0.4747822744758792,3,0.0
mean_reward,0.12393364384857579,0.0949564548951759,0.1718028198749869,3,1.0
episodes_to_convergence,nan,nan,nan,0,nan
train_reward_last,-0.045826833170470725,-0.06176957304355246,-0.02263590152343864,3,0.0
topm_hit_rate,0.01666666666666668,-0.05499999999999999,0.07,3,0.741
candidate_hit_rate,-0.051666666666666715,-0.05500000000000005,-0.04500000000000004,3,0.0
asset_coverage,-0.11111111111111109,-0.16666666666666663,0.0,3,0.0
mean_latency_ms,0.19551650070449492,0.1551750004728092,0.24400250098551624,3,1.0
duration_seconds,0.4405536666648307,0.3932331999967573,0.4887920000037411,3,1.0
