model,metric,mean,std,ci_lo,ci_hi,n
A,cumulative_return,-3.71735319776448,0.20147534822031787,-3.8631095781292104,-3.487444360485036,3
A,sharpe_ratio,-1.4073014004145685,0.14779823403000816,-1.5184753826989248,-1.239577986867949,3
A,max_drawdown,3.7018526761511943,0.19893659234041,3.475416716817501,3.8485495299401955,3
A,mean_reward,-0.7434706395528959,0.04029506964406361,-0.7726219156258421,-0.6974888720970073,3
A,episodes_to_convergence,nan,nan,nan,nan,0
A,train_reward_last,-0.7608654661958948,0.012553278400133015,-0.7743084712361011,-0.7494483263167119,3
A,topm_hit_rate,0.3566666666666667,0.024664414311581243,0.34,0.385,3
A,candidate_hit_rate,0.9900000000000001,0.0050000000000000044,0.985,0.995,3
A,asset_coverage,1.0,0.0,1.0,1.0,3
A,mean_latency_ms,0.3273461662805251,0.02605245198174322,0.307137000199873,0.356748999474803,3
A,duration_seconds,1.5676189000029506,0.8928102920613692,1.0481256000057328,2.5985368999972707,3
B,cumulative_return,-3.71735319776448,0.20147534822031787,-3.8631095781292104,-3.487444360485036,3
B,sharpe_ratio,-1.4073014004145685,0.14779823403000816,-1.5184753826989248,-1.239577986867949,3
B,max_drawdown,3.7018526761511943,0.19893659234041,3.475416716817501,3.8485495299401955,3
B,mean_reward,-0.7434706395528959,0.04029506964406361,-0.7726219156258421,-0.6974888720970073,3
B,episodes_to_convergence,nan,nan,nan,nan,0
B,train_reward_last,-0.7608654661958948,0.012553278400133015,-0.7743084712361011,-0.7494483263167119,3
B,topm_hit_rate,0.3566666666666667,0.024664414311581243,0.34,0.385,3
B,candidate_hit_rate,0.9900000000000001,0.0050000000000000044,0.985,0.995,3
B,asset_coverage,1.0,0.0,1.0,1.0,3
B,mean_latency_ms,0.3434703333914513,0.03843176981191975,0.31584450021910015,0.38736000075004995,3
B,duration_seconds,1.0788038666651119,0.033738361236512734,1.05912740000349,1.117760900000576,3
C,cumulative_return,-3.9224333482310505,0.41195337342355837,-4.185807994148634,-3.4476994850027345,3
C,sharpe_ratio,-1.3385904575243668,0.24304326484495342,-1.5882378083492437,-1.1027389533657763,3
C,max_drawdown,3.9079253539424705,0.41113793291773315,3.4345140525891407,4.175383316679798,3
C,mean_reward,-0.7844866696462102,0.08239067468471165,-0.8371615988297268,-0.689539897000547,3
C,episodes_to_convergence,nan,nan,nan,nan,0
C,train_reward_last,-0.7245488750465285,0.003628354896319911,-0.7287150699494968,-0.7220822749529282,3
C,topm_hit_rate,0.4266666666666666,0.07112196097783957,0.345,0.4749999999999999,3
C,candidate_hit_rate,0.8933333333333332,0.030138568866708567,0.8649999999999999,0.9250000000000002,3
C,asset_coverage,0.9444444444444445,0.0962250448649376,0.8333333333333334,1.0,3
C,mean_latency_ms,0.6148831663934592,0.014668543224327056,0.6017939996672794,0.6307374998141313,3
C,duration_seconds,1.6633367666654522,0.0028508228575171417,1.6612529999983963,1.6665856000036001,3
D,cumulative_return,-3.3027651289881708,0.36884702608365716,-3.6590102910659024,-2.922491201124912,3
D,sharpe_ratio,-1.189177235777372,0.2807708935487193,-1.4284812363429094,-0.8800984920048225,3
D,max_drawdown,3.282624891176839,0.36456973122313624,2.9104635574573785,3.639096418082594,3
D,mean_reward,-0.6605530257976342,0.07376940521673145,-0.7318020582131805,-0.5844982402249823,3
D,episodes_to_convergence,nan,nan,nan,nan,0
D,train_reward_last,-0.7703757082169993,0.02338231298572028,-0.7904846429930492,-0.744718176476367,3
D,topm_hit_rate,0.44333333333333336,0.05795112883571237,0.405,0.51,3
D,candidate_hit_rate,0.8416666666666667,0.025658007197234444,0.82,0.87,3
D,asset_coverage,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,3
D,mean_latency_ms,0.8103996670979541,0.0396288062336673,0.7859125002869405,0.856120500684483,3
D,duration_seconds,2.103890433330283,0.04828096991473738,2.0544861999951536,2.150963699998101,3
