contraste,metrica,n,mean_diff,p_bootstrap,p_t_pareada,p_wilcoxon,nota
D-C,candidate_hit_rate,10,0.019127,0.0,0.0,0.00195,
D-C,topm_hit_rate,10,0.005,0.3,0.34305,0.49609,
D-C,sharpe_ratio,10,0.003399,0.7432,0.74405,1.0,
B-A,candidate_hit_rate,10,0.0,,,,identico por construccion (degenerado)
B-A,topm_hit_rate,10,0.002063,0.7036,0.71324,0.76953,
B-A,sharpe_ratio,10,-0.0045,0.5756,0.59412,0.76953,
C-B,candidate_hit_rate,10,-0.570476,0.0,0.0,0.00195,
C-B,topm_hit_rate,10,-0.022937,0.0,0.00193,0.00195,
C-B,sharpe_ratio,10,-0.003836,0.76,0.74679,0.92188,
R-D,candidate_hit_rate,10,0.009524,0.0752,0.15724,0.20508,
R-D,topm_hit_rate,10,0.004127,0.162,0.20468,0.28711,
R-D,sharpe_ratio,10,0.002377,0.76,0.78087,0.76953,
R-C,candidate_hit_rate,10,0.028651,0.0,0.00092,0.00195,
R-C,topm_hit_rate,10,0.009127,0.068,0.13477,0.16992,
R-C,sharpe_ratio,10,0.005777,0.6348,0.63662,0.55664,
Q-R,candidate_hit_rate,10,-0.069127,0.0,0.0,0.00195,
Q-R,topm_hit_rate,10,-0.025635,0.0,0.00064,0.00195,
Q-R,sharpe_ratio,10,-0.013616,0.328,0.37059,0.375,
Crel-C,candidate_hit_rate,10,0.0,,,,identico por construccion (degenerado)
Crel-C,topm_hit_rate,10,-0.001508,0.6948,0.70631,0.94141,
Crel-C,sharpe_ratio,10,0.001939,0.8708,0.87617,0.69531,
Crel-B,candidate_hit_rate,10,-0.570476,0.0,0.0,0.00195,
Crel-B,topm_hit_rate,10,-0.024444,0.0,5e-05,0.00195,
Crel-B,sharpe_ratio,10,-0.001896,0.8628,0.8613,1.0,
