comparison,metric,mean_diff,ci_lo,ci_hi,n_pairs,p_positive,p_two_sided,p_bonferroni_k11
R-C,cumulative_return,0.13710484371967926,-0.2361405896270343,0.5512616082151638,10,0.7486,0.5027999999999999,1.0
R-C,sharpe_ratio,0.005776596345295185,-0.015997680866275503,0.0278858166826029,10,0.6878,0.6244000000000001,1.0
R-C,max_drawdown,0.006805837353286182,-0.08254190299339721,0.08639079951253541,10,0.583,0.8340000000000001,1.0
R-C,mean_reward,0.027420968743935882,-0.04721603965402225,0.11011028966772336,10,0.747,0.506,1.0
R-C,episodes_to_convergence,-8.333333333333334,-13.333333333333334,-3.6666666666666665,6,0.0,0.0,0.0
R-C,train_reward_last,-0.27627274122774514,-0.3537109693748107,-0.20594603840991346,10,0.0,0.0,0.0
R-C,topm_hit_rate,0.009126984126984131,-0.0010317460317460336,0.019603174603174612,10,0.9592,0.0815999999999999,0.8975999999999988
R-C,candidate_hit_rate,0.02865079365079364,0.018174603174603156,0.04055555555555554,10,1.0,0.0,0.0
R-C,asset_coverage,0.10333333333333332,0.08666666666666664,0.1233333333333333,10,1.0,0.0,0.0
R-C,mean_latency_ms,-0.005223856987579489,-0.020592095647381417,0.012766414594403178,10,0.2542,0.5084,1.0
R-C,duration_seconds,1.7940095999918413,-0.6890836410112389,3.812315419990191,10,0.927,0.1459999999999999,1.0
R-D,cumulative_return,0.013830586235810216,-0.30505575976217264,0.2922218307243315,10,0.5498,0.9004000000000001,1.0
R-D,sharpe_ratio,0.002377321726361734,-0.012812976173093732,0.017421935977750793,10,0.6292,0.7416,1.0
R-D,max_drawdown,-0.02936664345414703,-0.0879950224147019,0.031361328613228476,10,0.1784,0.3568,1.0
R-D,mean_reward,0.002766117247162059,-0.060299251368857255,0.062206940709288006,10,0.5494,0.9012,1.0
R-D,episodes_to_convergence,-6.4,-10.0,-3.2,5,0.0,0.0,0.0
R-D,train_reward_last,-0.28742720420182527,-0.32364880309382155,-0.2511800122918029,10,0.0,0.0,0.0
R-D,topm_hit_rate,0.004126984126984132,-0.0014285714285714208,0.009682539682539685,10,0.9268,0.14640000000000009,1.0
R-D,candidate_hit_rate,0.009523809523809518,-0.0013492063492063558,0.02214285714285713,10,0.9562,0.0875999999999999,0.9635999999999989
R-D,asset_coverage,0.13999999999999996,0.11999999999999997,0.16666666666666666,10,1.0,0.0,0.0
R-D,mean_latency_ms,-0.5464668889527232,-0.6763682813288474,-0.4141188557230291,10,0.0,0.0,0.0
R-D,duration_seconds,-25.570191220004926,-32.28157678000571,-18.90101835000096,10,0.0,0.0,0.0
Q-C,cumulative_return,-0.13827980310291105,-0.5741621222353379,0.2018121144379004,10,0.2542,0.5084,1.0
Q-C,sharpe_ratio,-0.00783933509984772,-0.03103591684905288,0.010547258392330281,10,0.2422,0.4844,1.0
Q-C,max_drawdown,0.016492575374105912,-0.04181225481707997,0.09658770545337325,10,0.6438,0.7123999999999999,1.0
Q-C,mean_reward,-0.027655960620582204,-0.1141455167139859,0.04119432252283915,10,0.2608,0.5216,1.0
Q-C,episodes_to_convergence,1.3333333333333333,0.0,2.8333333333333335,6,0.9556,0.08879999999999999,0.9767999999999999
Q-C,train_reward_last,-0.04399744849398237,-0.08959881481300494,0.003263586742823395,10,0.0342,0.0684,0.7524000000000001
Q-C,topm_hit_rate,-0.016507936507936506,-0.02738293650793651,-0.0065873015873015835,10,0.0004,0.0008,0.0088
Q-C,candidate_hit_rate,-0.040476190476190485,-0.041984126984126985,-0.038888888888888896,10,0.0,0.0,0.0
Q-C,asset_coverage,0.06999999999999998,0.046666666666666655,0.08999999999999998,10,1.0,0.0,0.0
Q-C,mean_latency_ms,0.24721281772982034,0.21291214401421635,0.2781777258375466,10,1.0,0.0,0.0
Q-C,duration_seconds,12.500858669998706,10.149284333250908,14.731407692254143,10,1.0,0.0,0.0
Q-D,cumulative_return,-0.26155406058678005,-0.6985038221410742,0.16831610349556814,10,0.1166,0.2332,1.0
Q-D,sharpe_ratio,-0.011238609718781167,-0.03548711820134315,0.013340198771657796,10,0.1888,0.3776,1.0
Q-D,max_drawdown,-0.019679905433327295,-0.11164672890171046,0.06876519885664559,10,0.3422,0.6844,1.0
Q-D,mean_reward,-0.05231081211735602,-0.14122895575502353,0.035640249578040135,10,0.1206,0.2412,1.0
Q-D,episodes_to_convergence,1.6666666666666667,-1.1666666666666667,4.0,6,0.8782,0.24360000000000004,1.0
Q-D,train_reward_last,-0.05515191146806251,-0.09215303203076106,-0.009592232999913165,10,0.0092,0.0184,0.2024
Q-D,topm_hit_rate,-0.021507936507936504,-0.029128968253968254,-0.014365079365079358,10,0.0,0.0,0.0
Q-D,candidate_hit_rate,-0.059603174603174616,-0.062380952380952384,-0.05682341269841272,10,0.0,0.0,0.0
Q-D,asset_coverage,0.10666666666666665,0.08333333333333331,0.12999999999999998,10,1.0,0.0,0.0
Q-D,mean_latency_ms,-0.2940302142353234,-0.43078814783750985,-0.15327756681625274,10,0.0,0.0,0.0
Q-D,duration_seconds,-14.863342149998061,-23.879579386000405,-6.164265963742439,10,0.0002,0.0004,0.0044
Q-R,cumulative_return,-0.2753846468225903,-0.7650557660499002,0.22906798573736853,10,0.1404,0.2808,1.0
Q-R,sharpe_ratio,-0.013615931445142903,-0.039807120048238394,0.013355963685830313,10,0.1622,0.3244,1.0
Q-R,max_drawdown,0.00968673802081973,-0.09877719067458259,0.11903248391408623,10,0.5624,0.8752,1.0
Q-R,mean_reward,-0.055076929364518065,-0.15700082758484563,0.04432911781508443,10,0.1448,0.2896,1.0
Q-R,episodes_to_convergence,10.833333333333334,7.5,14.666666666666666,6,1.0,0.0,0.0
Q-R,train_reward_last,0.2322752927337628,0.18419165266425677,0.28008011247903764,10,1.0,0.0,0.0
Q-R,topm_hit_rate,-0.025634920634920632,-0.03571428571428572,-0.016984126984126983,10,0.0,0.0,0.0
Q-R,candidate_hit_rate,-0.06912698412698412,-0.08031746031746032,-0.05920634920634919,10,0.0,0.0,0.0
Q-R,asset_coverage,-0.033333333333333326,-0.04999999999999999,-0.01333333333333333,10,0.0002,0.0004,0.0044
Q-R,mean_latency_ms,0.2524366747173998,0.2145054251085972,0.28946447300652844,10,1.0,0.0,0.0
Q-R,duration_seconds,10.706849070006864,7.900895093003347,13.276675534509558,10,1.0,0.0,0.0
