campaign_id,model,seed,universe,total_steps,cumulative_return,sharpe_ratio,max_drawdown,mean_reward,asset_coverage,topm_hit_rate,candidate_hit_rate,time_to_first_promising,mean_latency_ms,episodes_to_convergence,train_reward_last,train_reward_mean,n_train_steps,timestamp_utc,duration_seconds,variant,variant_M,variant_k,variant_beta,variant_m
scan_s3_M16_beta,A,42,nivel2,50000,-26.82905596951982,-1.0698056271830552,26.83032112858298,-5.365811193903964,1.0,0.21904761904761905,1.0,4.0,0.49836174635741387,6.0,-6.483644365322759,-6.179606852030406,50000,2026-05-12T04:23:59Z,38.100989099999424,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,A,123,nivel2,50000,-26.902051304252183,-1.1057347572860137,26.872490410971057,-5.380410260850434,1.0,0.2015873015873016,1.0,1.0,0.5639540476194169,7.0,-6.193603890872974,-6.569192836241517,50000,2026-05-12T04:24:40Z,39.97961019999639,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,A,456,nivel2,50000,-25.928806125107947,-1.0622684506750932,25.910063933642515,-5.1857612250215865,1.0,0.20873015873015874,1.0,3.0,0.4524780161556832,6.0,-5.8459288454792455,-6.313168690827506,50000,2026-05-12T04:25:19Z,39.514758000004804,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,A,789,nivel2,50000,-28.077197785810924,-1.1411273753031534,28.060721561960484,-5.615439557162181,1.0,0.20634920634920634,1.0,3.0,0.5077478571957539,7.0,-6.945150103047638,-6.318440798914932,50000,2026-05-12T04:25:58Z,38.64427089999663,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,A,1024,nivel2,50000,-26.70762869397384,-1.190950304747285,26.68929762931762,-5.341525738794764,1.0,0.20555555555555555,1.0,1.0,0.4889410318153548,6.0,-5.7832276716028534,-6.5521284636699075,50000,2026-05-12T04:26:38Z,39.77538859999913,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,B,42,nivel2,50000,-26.82905596951982,-1.0698056271830552,26.83032112858298,-5.365811193903964,1.0,0.21904761904761905,1.0,4.0,0.45774301565076697,6.0,-6.483644365322759,-6.179606852030406,50000,2026-05-12T04:27:18Z,39.900569500008714,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,B,123,nivel2,50000,-26.902051304252183,-1.1057347572860137,26.872490410971057,-5.380410260850434,1.0,0.2015873015873016,1.0,1.0,0.48380603208594647,7.0,-6.193603890872974,-6.569192836241517,50000,2026-05-12T04:27:58Z,40.06761050000205,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,B,456,nivel2,50000,-25.928806125107947,-1.0622684506750932,25.910063933642515,-5.1857612250215865,1.0,0.20873015873015874,1.0,3.0,0.4914882540654775,6.0,-5.8459288454792455,-6.313168690827506,50000,2026-05-12T04:28:39Z,40.14895410000463,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,B,789,nivel2,50000,-28.077197785810924,-1.1411273753031534,28.060721561960484,-5.615439557162181,1.0,0.20634920634920634,1.0,3.0,0.5353961112083948,7.0,-6.945150103047638,-6.318440798914932,50000,2026-05-12T04:29:20Z,40.88989730000321,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,B,1024,nivel2,50000,-26.70762869397384,-1.190950304747285,26.68929762931762,-5.341525738794764,1.0,0.20555555555555555,1.0,1.0,0.4483332542082598,6.0,-5.7832276716028534,-6.5521284636699075,50000,2026-05-12T04:30:00Z,40.02708869999333,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,C,42,nivel2,50000,-25.251700261910322,-1.1750083916219891,25.252965420973453,-5.05034005238206,1.0,0.19206349206349208,0.5801587301587302,4.0,1.1481069838549638,6.0,-6.326786100583293,-5.925042360962161,50000,2026-05-12T04:31:10Z,70.07225430000108,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,C,123,nivel2,50000,-27.155942844541173,-1.2200645888753436,27.125148249545628,-5.431188568908229,0.9666666666666667,0.16666666666666666,0.5722222222222222,1.0,1.00462349230564,7.0,-5.8771503488507895,-6.269759367143104,50000,2026-05-12T04:32:21Z,71.04594620001444,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,C,456,nivel2,50000,-26.02231875327916,-1.1926784034389317,26.010419747145402,-5.204463750655828,0.8666666666666667,0.14126984126984127,0.5603174603174603,5.0,1.0131900794577733,6.0,-5.886994564387672,-6.155022232406315,50000,2026-05-12T04:33:32Z,70.34352110000327,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,C,789,nivel2,50000,-24.651609089579626,-1.2071060012341726,24.626845938321512,-4.930321817915923,0.9333333333333333,0.15079365079365079,0.5801587301587302,27.0,1.0831950793212781,6.0,-6.311841927415417,-5.965221043877437,50000,2026-05-12T04:34:43Z,71.45811020000838,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,C,1024,nivel2,50000,-28.44113127600076,-1.0921915989216426,28.422800211344533,-5.688226255200147,0.9666666666666667,0.16031746031746033,0.5706349206349206,1.0,0.8755487298277864,6.0,-5.635905468164756,-6.3069617279443655,50000,2026-05-12T04:35:45Z,61.32639940000081,s3_M16_beta,16,3,0.5,5
scan_s3_M16_beta,D,42,nivel2,50000,-26.699294337701076,-1.1780223647992265,26.658871810954235,-5.339858867540213,0.6333333333333333,0.17777777777777778,0.6142857142857143,20.0,2.3233561901078144,6.0,-6.929383182397769,-6.4600650528814505,50000,2026-05-12T04:38:00Z,134.66239569999743,s3_M16_beta,16,3,0.5,5
