metric,mean_diff_d_minus_c,ci_lo,ci_hi,n_pairs,p_d_better_than_c,p_two_sided,p_bonferroni,p_holm,p_fdr
cumulative_return,-0.05728499484447554,-1.649133992281365,1.534564002592414,5,0.46,0.92,1.0,1.0,0.9256
sharpe_ratio,-0.02740677839713972,-0.05767588343698682,-0.0004878116517620601,5,0.0176,0.0352,0.38720000000000004,0.17600000000000002,0.05531428571428572
max_drawdown,0.04761499951792274,-1.5405436898845715,1.6357736889204169,5,0.541,0.9179999999999999,1.0,1.0,0.9256
mean_reward,-0.011456998968897025,-0.3298267984562747,0.297383972154676,5,0.4628,0.9256,1.0,1.0,0.9256
episodes_to_convergence,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0
train_reward_last,-0.5856050002387692,-0.8400725417390026,-0.38396788851292724,5,0.0,0.0,0.0,0.0,0.0
topm_hit_rate,0.01333333333333333,-0.0015873015873015873,0.02698412698412698,5,0.957,0.08600000000000008,0.9460000000000008,0.3440000000000003,0.1182500000000001
candidate_hit_rate,0.04841269841269842,0.03952380952380952,0.05714285714285714,5,1.0,0.0,0.0,0.0,0.0
asset_coverage,-0.35333333333333333,-0.39333333333333337,-0.29333333333333333,5,0.0,0.0,0.0,0.0,0.0
mean_latency_ms,1.209763746030928,1.1286265078478397,1.2974617301831983,5,1.0,0.0,0.0,0.0,0.0
duration_seconds,63.83531649999204,61.8181268599903,66.33603603999072,5,1.0,0.0,0.0,0.0,0.0
