model,metric,mean,std,ci_lo,ci_hi,n
A,cumulative_return,-26.88894797573294,0.7698125447204829,-27.553655604185288,-26.39515928619801,5
A,sharpe_ratio,-1.1139773030389202,0.05327957239209373,-1.1552493480440202,-1.0754463320195147,5
A,max_drawdown,26.872578932894932,0.7703076977564031,26.28660066809632,27.54035668875641,5
A,mean_reward,-5.377789595146586,0.15396250894409616,-5.4830824314303,-5.260701025963831,5
A,episodes_to_convergence,6.4,0.5477225575051662,6.0,6.8,5
A,train_reward_last,-6.250310975265094,0.4801440662144632,-6.633004703988983,-5.890383385007435,5
A,topm_hit_rate,0.20825396825396822,0.006559032860760122,0.2039642857142857,0.21380952380952375,5
A,candidate_hit_rate,1.0,0.0,1.0,1.0,5
A,asset_coverage,1.0,0.0,1.0,1.0,5
A,mean_latency_ms,0.5022965398287245,0.04033330702692812,0.4743146481728001,0.5377102063738718,5
A,duration_seconds,39.20300335999927,0.7991482017699534,38.60066345199935,39.793951364999735,5
B,cumulative_return,-26.88894797573294,0.7698125447204829,-27.56825467113176,-26.288906062872694,5
B,sharpe_ratio,-1.1139773030389202,0.05327957239209373,-1.1567567833456127,-1.0739765826004621,5
B,max_drawdown,26.872578932894932,0.7703076977564031,26.286600668096316,27.54035668875641,5
B,mean_reward,-5.377789595146586,0.15396250894409616,-5.513650934226348,-5.255843934941991,5
B,episodes_to_convergence,6.4,0.5477225575051662,6.0,6.8,5
B,train_reward_last,-6.250310975265094,0.4801440662144632,-6.66824666041271,-5.9029236197827135,5
B,topm_hit_rate,0.20825396825396822,0.006559032860760122,0.2038095238095238,0.21444444444444444,5
B,candidate_hit_rate,1.0,0.0,1.0,1.0,5
B,asset_coverage,1.0,0.0,1.0,1.0,5
B,mean_latency_ms,0.4833533334437691,0.034121572773541144,0.4588462064682048,0.5110839206682858,5
B,duration_seconds,40.20682402000239,0.39224197057359633,39.96738590000605,40.552878220001006,5
C,cumulative_return,-26.30454044506221,1.5174163918647132,-27.54620738689075,-25.27067904703861,5
C,sharpe_ratio,-1.177409796818416,0.05050330234238462,-1.209110114700779,-1.1317378379242178,5
C,max_drawdown,26.287635913466108,1.5137675403166575,25.154008493147067,27.421263333785145,5
C,mean_reward,-5.260908089012437,0.30348327837294153,-5.509241477378145,-5.033157498250358,5
C,episodes_to_convergence,6.2,0.44721359549995787,6.0,6.6,5
C,train_reward_last,-6.007735681880385,0.30172936248216037,-6.233870115603217,-5.774006873782623,5
C,topm_hit_rate,0.1622222222222222,0.019258096365845214,0.1488888888888889,0.1787301587301587,5
C,candidate_hit_rate,0.5726984126984126,0.008201911544611966,0.5663492063492063,0.5782539682539684,5
C,asset_coverage,0.9466666666666667,0.05055250296034366,0.9066666666666666,0.9800000000000001,5
C,mean_latency_ms,1.0249328729534883,0.10177466856491636,0.9446062696524823,1.106427904638362,5
C,duration_seconds,68.8492462400056,4.24127022619136,65.01732394850355,71.07103126600974,5
D,cumulative_return,-26.36182543990668,1.3527609399046965,-27.12250637355777,-25.150597931664443,5
D,sharpe_ratio,-1.2048165752155555,0.03860678312929696,-1.2350937366956312,-1.1765806932559661,5
D,max_drawdown,26.335250912984026,1.3446019470346313,25.132140790220472,27.09551354066998,5
D,mean_reward,-5.272365087981334,0.2705521879809396,-5.422734447775612,-5.031886413268826,5
D,episodes_to_convergence,6.2,0.44721359549995787,6.0,6.6,5
D,train_reward_last,-6.593340682119154,0.5617946303183949,-7.058593235143664,-6.1720083473249066,5
D,topm_hit_rate,0.17555555555555555,0.005000629841912174,0.17190476190476192,0.1796825396825397,5
D,candidate_hit_rate,0.6211111111111112,0.004222043199450901,0.6174603174603175,0.623968253968254,5
D,asset_coverage,0.5933333333333334,0.04346134936801765,0.5599999999999999,0.6266666666666667,5
D,mean_latency_ms,2.234696618984416,0.09692589438947907,2.162835126953377,2.3112181746465565,5
D,duration_seconds,132.68456273999763,1.9251361432034058,131.11854757999828,134.08660545999592,5
