comparison,metric,delta,mean_diff,sd,ci90_lo,ci90_hi,p_tost,equivalent,n_pairs,mde_80
R-D,candidate_hit_rate,0.01,0.009523809523809518,0.01951943570973197,-0.0017912405391114026,0.020838859586730436,0.47009761001838646,False,10,0.01941625080010868
R-D,candidate_hit_rate,0.015,0.009523809523809518,0.01951943570973197,-0.0017912405391114026,0.020838859586730436,0.19903506142019073,False,10,0.01941625080010868
R-D,candidate_hit_rate,0.019,0.009523809523809518,0.01951943570973197,-0.0017912405391114026,0.020838859586730436,0.07955281164594277,False,10,0.01941625080010868
R-D,topm_hit_rate,0.01,0.004126984126984132,0.009544363476086669,-0.001405704018134256,0.009659672272102519,0.04175925450668202,True,10,0.009493909441588079
R-D,topm_hit_rate,0.015,0.004126984126984132,0.009544363476086669,-0.001405704018134256,0.009659672272102519,0.0028629966047863825,True,10,0.009493909441588079
R-D,topm_hit_rate,0.02,0.004126984126984132,0.009544363476086669,-0.001405704018134256,0.009659672272102519,0.00026067386436844206,True,10,0.009493909441588079
R-D,sharpe_ratio,0.01,0.002377321726361734,0.026226701311682372,-0.012825804160059432,0.0175804476127829,0.19100731195365117,False,10,0.026088060018726673
R-D,sharpe_ratio,0.02,0.002377321726361734,0.026226701311682372,-0.012825804160059432,0.0175804476127829,0.031271399202644996,True,10,0.026088060018726673
R-D,sharpe_ratio,0.03,0.002377321726361734,0.026226701311682372,-0.012825804160059432,0.0175804476127829,0.0043953614750665004,True,10,0.026088060018726673
R-C,candidate_hit_rate,0.01,0.02865079365079364,0.018730644479995465,0.017792991040431583,0.039508596261155694,0.9941198468171464,False,10,0.018631629329834608
R-C,candidate_hit_rate,0.015,0.02865079365079364,0.018730644479995465,0.017792991040431583,0.039508596261155694,0.9766784818915273,False,10,0.018631629329834608
R-C,candidate_hit_rate,0.019,0.02865079365079364,0.018730644479995465,0.017792991040431583,0.039508596261155694,0.9311591079876405,False,10,0.018631629329834608
R-C,topm_hit_rate,0.01,0.009126984126984131,0.017565221178366407,-0.0010552444965821525,0.019309212750550413,0.43929032695422243,False,10,0.017472366764603866
R-C,topm_hit_rate,0.015,0.009126984126984131,0.017565221178366407,-0.0010552444965821525,0.019309212750550413,0.15895862551673137,False,10,0.017472366764603866
R-C,topm_hit_rate,0.02,0.009126984126984131,0.017565221178366407,-0.0010552444965821525,0.019309212750550413,0.040988142294538336,True,10,0.017472366764603866
R-C,sharpe_ratio,0.01,0.005776596345295185,0.037365456556615696,-0.015883456632117904,0.027436649322708277,0.3645037260597961,False,10,0.03716793285177288
R-C,sharpe_ratio,0.02,0.005776596345295185,0.037365456556615696,-0.015883456632117904,0.027436649322708277,0.12969684317901006,False,10,0.03716793285177288
R-C,sharpe_ratio,0.03,0.005776596345295185,0.037365456556615696,-0.015883456632117904,0.027436649322708277,0.035303907849738976,True,10,0.03716793285177288
Q-R,candidate_hit_rate,0.01,-0.06912698412698412,0.017677224130514486,-0.07937413875710081,-0.058879829496867424,0.999998880677303,False,10,0.01758377763946719
Q-R,candidate_hit_rate,0.015,-0.06912698412698412,0.017677224130514486,-0.07937413875710081,-0.058879829496867424,0.9999976617757964,False,10,0.01758377763946719
Q-R,candidate_hit_rate,0.019,-0.06912698412698412,0.017677224130514486,-0.07937413875710081,-0.058879829496867424,0.9999956016404841,False,10,0.01758377763946719
Q-R,topm_hit_rate,0.01,-0.025634920634920632,0.01589086298251452,-0.03484655527764349,-0.016423285992197775,0.9937541349879472,False,10,0.015806859669863973
Q-R,topm_hit_rate,0.015,-0.025634920634920632,0.01589086298251452,-0.03484655527764349,-0.016423285992197775,0.9682935897848157,False,10,0.015806859669863973
Q-R,topm_hit_rate,0.02,-0.025634920634920632,0.01589086298251452,-0.03484655527764349,-0.016423285992197775,0.8544167257275797,False,10,0.015806859669863973
Q-R,sharpe_ratio,0.01,-0.013615931445142903,0.04568890741315299,-0.04010093246606041,0.012869069575774605,0.5960011518551822,False,10,0.04544738374144856
Q-R,sharpe_ratio,0.02,-0.013615931445142903,0.04568890741315299,-0.04010093246606041,0.012869069575774605,0.3345076939010712,False,10,0.04544738374144856
Q-R,sharpe_ratio,0.03,-0.013615931445142903,0.04568890741315299,-0.04010093246606041,0.012869069575774605,0.14304892186814938,False,10,0.04544738374144856
